Parent Item,3131910FNS
Parent Description,PICC SOLO2 KIT 5F DL SHERLOCK
As of Date,09/03/25
Level,Component Item,Component Description,Branch/Plant,Quantity Per,Ext Qty,UM,T,Effective From,Effective Thru,Oper Seq No
1,0703450,LOD THERMAL TRANSFER RIBBON,5150,0.0000,0.000000,EA,P,12/11/09,12/31/40,5.00
1,BAW0722153,"EN LOD, CASE LABEL",5150,0.4000,0.400000,EA,Q,12/11/09,12/31/40,5.00
1,BAW0724416,"EN LOD, UNIT LABEL",5150,1.0000,1.000000,EA,Q,12/11/09,12/31/40,5.00
1,C293054,"LABEL, PRIMING VOLUME, BLANK",5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,5.00
1,MPS0090,PRODUCING LABELS ON THE,5150,0.0000,0.000000,EA,Q,12/11/09,12/31/40,5.00
1,PK0722294,"CASE LABEL, BLANK",5150,0.4000,0.400000,EA,P,12/11/09,12/31/40,5.00
1,PK0756181,PORT ACCESS KIT LABEL STOCK,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,5.00
1,FM00182,FIRST/LAST LABEL RECORD,5150,0.0000,0.000000,EA,Q,12/11/09,12/31/40,6.00
1,MPS0019,PACKAGING QUALITY,5150,0.0000,0.000000,EA,Q,12/11/09,12/31/40,6.00
1,3330010,PICC DUAL LUMEN 5F 55CM SHERLOCK 3CG TPS,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,0396447,ABSORBENT TOWEL,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,5167473,TAPE ANCHOR PER-Q-CATH,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,4410005,SYRINGE 5ML,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,4420001,STATLOCK STABILIZATION DEVICE,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,4430020,INTRODUCER SAFETY IV CATH 20G,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,4440003,CHLORAPREP APPLICATOR 3ML,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,4450001,ASPIRATION DEVICE,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,2220001,TAPE STRIPS,5150,2.0000,2.000000,EA,P,12/11/09,12/31/40,7.00
1,7770010,GAUZE 4X4,5150,10.0000,10.000000,EA,P,12/11/09,12/31/40,7.00
1,7770005,GAUZE 2X2,5150,6.0000,6.000000,EA,P,12/11/09,12/31/40,7.00
1,2230001,MEASURING TAPE,5150,2.0000,2.000000,EA,P,12/11/09,12/31/40,7.00
1,2240001,MASK PROCEDURE EARLOOP,5150,2.0000,2.000000,EA,P,12/11/09,12/31/40,7.00
1,2250001,DRESSING ADHESIVE,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,2260001,END CAP,5150,2.0000,2.000000,EA,P,12/11/09,12/31/40,7.00
1,2270001,WIPE ALCOHOL 70%,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,2280001,ECG LEADS ASSY,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,2290001,ELECTRODES ECG,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,2300001,GLOVES EXAM,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,2310001,BAND ELASTIC BLUE,5150,2.0000,2.000000,EA,P,12/11/09,12/31/40,7.00
1,2320001,HOLDER REMOTE CONTROL,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,2330001,TOURNIQUET,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,RM0737876,CATHETER TRIMMING DEVICE,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,4460021,NEEDLE INTRODUCER 21G,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,2340001,DRAPE ABSORBENT,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,2350001,DRAPE FENESTRATED,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,4470025,NEEDLE SAFETY HYPODERMIC 25G,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,2360001,SCALPEL SAFETY,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,4480005,MICROINTRODUCER MICROEZ 5F W/ DILATOR,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,2370001,SHERLOCK SENSOR HOLDER,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,4490046,GUIDEWIRE FLEXURA NITINOL 0.018IN X 50CM,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,2380001,LIDOCAINE HCL 1% 5ML AMPULE,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,4500010,SYRINGE SALINE 0.9% 10ML,5150,2.0000,2.000000,EA,P,12/11/09,12/31/40,7.00
1,PK0744425,"IFU, CATH TRIMMING DEVICE",5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,7.00
1,PK0100001,"TRAY, THERMOFORMED",5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,8.00
1,PK0100002,"CARTON, SHIPPER",5150,0.2500,0.250000,EA,P,12/11/09,12/31/40,9.00
1,PK0100003,TRAY ASSY PER DWG3173108 REV 11,5150,1.0000,1.000000,EA,P,12/11/09,12/31/40,8.00
